route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
FR:Line::a7820377-230e-419a-8573-9d4de08fc44f:,002600,OCESN453832R1187_R:CTE:FR:Line::a7820377-230e-419a-8573-9d4de08fc44f::87582775:87581009:2:2220:20260523,453832,0,8868,
FR:Line::e0a06da9-7515-46e3-a790-975f9883185c:,002584,OCESN453864R1187_R:CTE:FR:Line::e0a06da9-7515-46e3-a790-975f9883185c::87582775:87581009:11:921:20260516,453864,1,8869,
FR:Line::e0a06da9-7515-46e3-a790-975f9883185c:,001303,OCESN453865R1187_R:CTE:FR:Line::e0a06da9-7515-46e3-a790-975f9883185c::87581009:87586545:17:1403:20260320,453865,0,8870,
FR:Line::e0a06da9-7515-46e3-a790-975f9883185c:,002592,OCESN453867R1187_R:CTE:FR:Line::e0a06da9-7515-46e3-a790-975f9883185c::87581009:87582775:11:1307:20260516,453867,0,8871,
FR:Line::e0a06da9-7515-46e3-a790-975f9883185c:,002583,OCESN453870R1187_R:CTE:FR:Line::e0a06da9-7515-46e3-a790-975f9883185c::87582775:87581009:11:1421:20260525,453870,1,8872,
FR:Line::e0a06da9-7515-46e3-a790-975f9883185c:,002586,OCESN453871R1187_R:CTE:FR:Line::e0a06da9-7515-46e3-a790-975f9883185c::87581009:87582775:11:1707:20260524,453871,0,8873,
FR:Line::e0a06da9-7515-46e3-a790-975f9883185c:,001303,OCESN453872R1187_R:CTE:FR:Line::e0a06da9-7515-46e3-a790-975f9883185c::87586545:87581009:17:1502:20260320,453872,1,8874,
FR:Line::e0a06da9-7515-46e3-a790-975f9883185c:,002585,OCESN453874R1187_R:CTE:FR:Line::e0a06da9-7515-46e3-a790-975f9883185c::87582775:87581009:11:1626:20260523,453874,1,8875,
FR:Line::e0a06da9-7515-46e3-a790-975f9883185c:,002587,OCESN453875R1187_R:CTE:FR:Line::e0a06da9-7515-46e3-a790-975f9883185c::87581009:87582775:11:1912:20260513,453875,0,8876,
FR:Line::e0a06da9-7515-46e3-a790-975f9883185c:,002587,OCESN453876R1187_R:CTE:FR:Line::e0a06da9-7515-46e3-a790-975f9883185c::87582775:87581009:11:2006:20260513,453876,1,8877,
FR:Line::e0a06da9-7515-46e3-a790-975f9883185c:,002585,OCESN453877R1187_R:CTE:FR:Line::e0a06da9-7515-46e3-a790-975f9883185c::87581009:87582775:11:2007:20260523,453877,0,8878,
FR:Line::e0a06da9-7515-46e3-a790-975f9883185c:,002599,OCESN453878R1187_R:CTE:FR:Line::e0a06da9-7515-46e3-a790-975f9883185c::87582775:87581009:11:2021:20260524,453878,1,8879,
FR:Line::e0a06da9-7515-46e3-a790-975f9883185c:,002599,OCESN453879R1187_R:CTE:FR:Line::e0a06da9-7515-46e3-a790-975f9883185c::87581009:87582775:11:2107:20260524,453879,0,8880,
FR:Line::417b778d-b82f-42c3-9a55-2dbb7a306070:,001450,OCESN45499R1187_R:CTE:FR:Line::417b778d-b82f-42c3-9a55-2dbb7a306070::87144097:87144006:2:740:20260630:1,45499,0,8881,
FR:Line::a1a8d330-b7e7-4de8-bbeb-29904a56f8ef:,000508,OCEEA45500R5235_R:CTE:FR:Line::a1a8d330-b7e7-4de8-bbeb-29904a56f8ef::87313072:87313874:3:523:20260630,45500,1,8882,
FR:Line::ca982433-fd5f-4d50-bb21-3f54731f486a:,002601,OCESN455006R1187_R:CTE:FR:Line::ca982433-fd5f-4d50-bb21-3f54731f486a::87673004:87672139:8:935:20260601,455006,1,8883,
FR:Line::ca982433-fd5f-4d50-bb21-3f54731f486a:,002602,OCESN455006R1187_R:CTE:FR:Line::ca982433-fd5f-4d50-bb21-3f54731f486a::87673004:87672006:7:905:20260605,455006,1,8884,
FR:Line::ca982433-fd5f-4d50-bb21-3f54731f486a:,002603,OCESN455007R1187_R:CTE:FR:Line::ca982433-fd5f-4d50-bb21-3f54731f486a::87672279:87673004:4:1020:20260605,455007,0,8885,
FR:Line::ca982433-fd5f-4d50-bb21-3f54731f486a:,000559,OCESN455012R1187_R:CTE:FR:Line::ca982433-fd5f-4d50-bb21-3f54731f486a::87673004:87672279:4:1445:20260410,455012,1,8886,
FR:Line::ca982433-fd5f-4d50-bb21-3f54731f486a:,000561,OCESN455014R1187_R:CTE:FR:Line::ca982433-fd5f-4d50-bb21-3f54731f486a::87677005:87673004:6:1310:20260327,455014,1,8887,
FR:Line::b8b05af7-0857-4c78-982b-5adcdd0aa039:,002602,OCESN455205R1187_R:CTE:FR:Line::b8b05af7-0857-4c78-982b-5adcdd0aa039::87672006:87673202:5:1100:20260605,455205,0,8888,
FR:Line::b8b05af7-0857-4c78-982b-5adcdd0aa039:,002601,OCESN455207R1187_R:CTE:FR:Line::b8b05af7-0857-4c78-982b-5adcdd0aa039::87671339:87673202:7:1100:20260601,455207,0,8889,
FR:Line::b8b05af7-0857-4c78-982b-5adcdd0aa039:,002601,OCESN455208R1187_R:CTE:FR:Line::b8b05af7-0857-4c78-982b-5adcdd0aa039::87673202:87671339:7:1040:20260601,455208,1,8890,
FR:Line::b8b05af7-0857-4c78-982b-5adcdd0aa039:,002602,OCESN455208R1187_R:CTE:FR:Line::b8b05af7-0857-4c78-982b-5adcdd0aa039::87673202:87672006:5:940:20260605,455208,1,8891,
FR:Line::b8b05af7-0857-4c78-982b-5adcdd0aa039:,002604,OCESN455209R1187_R:CTE:FR:Line::b8b05af7-0857-4c78-982b-5adcdd0aa039::87671008:87673202:8:1325:20260522,455209,0,8892,
FR:Line::b8b05af7-0857-4c78-982b-5adcdd0aa039:,002017,OCESN455209R1187_R:CTE:FR:Line::b8b05af7-0857-4c78-982b-5adcdd0aa039::87671008:87673202:8:1415:20260227,455209,0,8893,
FR:Line::b8b05af7-0857-4c78-982b-5adcdd0aa039:,002603,OCESN455212R1187_R:CTE:FR:Line::b8b05af7-0857-4c78-982b-5adcdd0aa039::87673202:87672006:5:1145:20260605,455212,1,8894,
FR:Line::b8b05af7-0857-4c78-982b-5adcdd0aa039:,002605,OCESN455224R1187_R:CTE:FR:Line::b8b05af7-0857-4c78-982b-5adcdd0aa039::87673202:87672006:5:1645:20260522,455224,1,8895,
FR:Line::b8b05af7-0857-4c78-982b-5adcdd0aa039:,002605,OCESN455246R1187_R:CTE:FR:Line::b8b05af7-0857-4c78-982b-5adcdd0aa039::87673202:87671008:8:1620:20260522,455246,1,8896,
FR:Line::b8b05af7-0857-4c78-982b-5adcdd0aa039:,002606,OCESN455247R1187_R:CTE:FR:Line::b8b05af7-0857-4c78-982b-5adcdd0aa039::87672006:87673202:5:1555:20260521,455247,0,8897,
FR:Line::b8b05af7-0857-4c78-982b-5adcdd0aa039:,002607,OCESN455249R1187_R:CTE:FR:Line::b8b05af7-0857-4c78-982b-5adcdd0aa039::87671008:87673202:8:1555:20260522,455249,0,8898,
