id_gare;nom_gare;trigramme;lat;lon;id_commune;nom_commune
87300863;Besançon Franche-Comté TGV;BFC;47.307361058531725; 5.953195095062256;25035;AUXON-DESSUS
87718015;Besançon Mouillère;BNM;47.240372; 6.03391;25056;BESANCON
87718007;Besançon Viotte;BNV;47.247019; 6.022003;25056;BESANCON
87471219;Beslé;BIQ;47.6988788; -1.8706374;44067;GUEMENE-PENFAO
87276642;Bessancourt;BSR;49.03576; 2.21004;95060;BESSANCOURT
87696336;Bessay-sur-Allier;BSS;46.4435849; 3.3606477;3025;BESSAY-SUR-ALLIER
87594747;Bétaille;BIK;44.9424281; 1.7344108;46028;BETAILLE
87342006;Béthune;BET;50.52144; 2.64055;62119;BETHUNE
87471045;Betton;BTN;48.1814803; -1.6344745;35024;BETTON
87343160;Beuvrages;BUS;50.3894892; 3.5061396;59079;BEUVRAGES
87342402;Beuvry lès Béthune;BVR;50.5356021; 2.6924093;62126;BEUVRY
87393363;Beynes;BYS;48.8593599; 1.8755696;78062;BEYNES
87723544;Beynost;BNO;45.833915; 5.006969;1043;BEYNOST
87781005;Béziers;BZS;43.33633; 3.218873;34032;BEZIERS
87342097;Biache-Saint-Vaast;BIA;50.3162525; 2.9414975;62128;BIACHE-SAINT-VAAST
87673400;Biarritz;BIZ;43.459397; -1.545915;64122;BIARRITZ
87328328;Bibliothèque François Mitterrand;BFM;48.82984; 2.37684;75113;PARIS-13E-ARRONDISSEMENT
87673699;Bidarray Pont Noblia;PBJ;43.2682991; -1.3453233;64124;BIDARRAY
87691949;Bidos;EON;43.17892; -0.6069;64126;BIDOS
87393546;Bièvres;BSI;48.7513289; 2.2157279;91064;BIEVRES
87582478;Biganos Facture;FAT;44.637384; -0.96621;33051;BIGANOS
87576306;Bigny;BIG;46.8015763; 2.368638;18270;VALLENAY
87345140;Billy-Montigny;BYM;50.41556; 2.91206;62133;BILLY-MONTIGNY
87757690;Biot;BJO;43.610951; 7.12609;6004;ANTIBES
87212308;Bischheim;BHM;48.6118352; 7.7422165;67043;BISCHHEIM
87214296;Bischoffsheim;BFH;48.48701; 7.49772;67045;BISCHOFFSHEIM
87213611;Bischwiller;BHW;48.765753; 7.8516536;67046;BISCHWILLER
87182576;Bitschwiller-lès-Thann;BWP;47.8273719; 7.078514;68040;BITSCHWILLER-LES-THANN
87141135;Blainville - Damelevières;BLV;48.564971; 6.386953;54152;DAMELEVIERES
87713073;Blaisy-Bas;BSB;47.3734427; 4.7410755;21080;BLAISY-BAS
87313809;Blangy-sur-Bresle;BBM;49.9326071; 1.6259074;76101;BLANGY-SUR-BRESLE
87317248;Blangy-sur-Ternoise;BIP;50.424669; 2.1721585;62138;BLANGY-SUR-TERNOISE
87581728;Blanquefort;BQF;44.917556; -0.62392;33056;BLANQUEFORT
87694612;Blanzy;BYK;46.694064; 4.3913585;71040;BLANZY
87574475;Bléré - La Croix;BCX;47.3377228; 0.9877583;37091;LA CROIX-EN-TOURAINE
87574004;Blois - Chambord;BLO;47.585445; 1.323823;41018;BLOIS
